,index,projectId,name,difficulty,priority,percentMapped,percentValidated,status,lastUpdated,dueDate,country,organisationName,creation_date,totalArea,totalContributors,author,creation_date_datetime,concat,duplicated
260,1492,16692,Flood Mapping in Kenya 1,MODERATE,URGENT,100,100,ARCHIVED,2024-05-09 8:09:22,,['Kenya'],Open Mapping Hub ESA,2024-05-02 20:27:14,2.664,35,Becky Candy,2024-05-02 20:27:14,Flood Mapping in Kenya 1Open Mapping Hub ESABecky Candy['Kenya'],FALSE
263,1496,16697,"Floods Response in Burundi, Gatumba ",MODERATE,URGENT,100,100,ARCHIVED,2024-05-15 7:40:00,,['Burundi'],Ladies In Maps Zimbabwe,2024-05-03 8:01:36,6.199,64,Letwin Pondo,2024-05-03 8:01:36,"Floods Response in Burundi, Gatumba Ladies In Maps ZimbabweLetwin Pondo['Burundi']",FALSE
264,1497,16723,Rio Grande do Sul Floods - Mapping Buildings in Cruzeiro do Sul municipality (urban area),MODERATE,URGENT,100,100,ARCHIVED,2024-05-15 7:54:11,2024-05-16 3:00:00,['Brazil'],Open Mapping Hub for Latin America and the Caribbean,2024-05-09 0:18:56,11.038,55,Everton Bortolini,2024-05-09 0:18:56,Rio Grande do Sul Floods - Mapping Buildings in Cruzeiro do Sul municipality (urban area)Open Mapping Hub for Latin America and the CaribbeanEverton Bortolini['Brazil'],FALSE
270,1503,16784,Afghanistan 2024 Floods - Baghlan District - Map Roads (1/5),MODERATE,URGENT,100,100,ARCHIVED,2024-07-15 3:19:54,,['Afghanistan'],Open Mapping Hub Asia-Pacific,2024-05-14 14:24:27,3818.977,907,Madaam,2024-05-14 14:24:27,Afghanistan 2024 Floods - Baghlan District - Map Roads (1/5)Open Mapping Hub Asia-PacificMadaam['Afghanistan'],FALSE
282,1515,16914,Belize - Cayo and Toledo District (1) Wildfire2024,EASY,URGENT,100,100,ARCHIVED,2024-06-07 11:11:23,2024-06-08 5:00:00,['Belize'],Open Mapping Hub for Latin America and the Caribbean,2024-06-06 1:27:49,110.401,36,Juan Carlos Melo Luna,2024-06-06 1:27:49,Belize - Cayo and Toledo District (1) Wildfire2024Open Mapping Hub for Latin America and the CaribbeanJuan Carlos Melo Luna['Belize'],FALSE
289,1522,16949,"Kanlaon Volcano Eruption 2024 - Map Buildings - Negros Island, Philippines (2)",MODERATE,URGENT,99,99,ARCHIVED,2024-09-02 12:06:10,,['Philippines'],OSM Philippines,2024-06-13 3:57:55,688.751,858,Feye Andal,2024-06-13 3:57:55,"Kanlaon Volcano Eruption 2024 - Map Buildings - Negros Island, Philippines (2)OSM PhilippinesFeye Andal['Philippines']",FALSE
297,1530,17158,HURRICANE BERYL 2024 THE GRENADINES,MODERATE,URGENT,100,100,ARCHIVED,2024-09-02 11:55:55,2024-07-21 5:00:00,['Saint Vincent and the Grenadines'],Open Mapping Hub for Latin America and the Caribbean,2024-07-11 13:37:44,27.811,111,Juan Carlos Melo Luna,2024-07-11 13:37:44,HURRICANE BERYL 2024 THE GRENADINESOpen Mapping Hub for Latin America and the CaribbeanJuan Carlos Melo Luna['Saint Vincent and the Grenadines'],FALSE
302,1535,17416,Flood 2024 in Bangladesh-1,MODERATE,URGENT,100,100,ARCHIVED,2024-08-26 7:54:18,,['Bangladesh'],OSM Bangladesh,2024-08-21 20:01:37,55.135,64,Md. Samsul Arafin,2024-08-21 20:01:37,Flood 2024 in Bangladesh-1OSM BangladeshMd. Samsul Arafin['Bangladesh'],FALSE
304,1537,17598,"Nigeria Flooding: Maiduguri, Gwange 1",MODERATE,URGENT,100,100,ARCHIVED,2024-09-20 13:26:02,,['Nigeria'],HOT,2024-09-17 7:10:59,1.425,31,Sam Colchester,2024-09-17 7:10:59,"Nigeria Flooding: Maiduguri, Gwange 1HOTSam Colchester['Nigeria']",FALSE
312,1545,17928,Lebanon Conflict: Bent Jbeil 1,MODERATE,URGENT,100,100,ARCHIVED,2024-11-17 16:29:09,,['Lebanon'],HOT,2024-10-28 17:44:35,102.292,46,Sam Colchester,2024-10-28 17:44:35,Lebanon Conflict: Bent Jbeil 1HOTSam Colchester['Lebanon'],FALSE
313,1546,17947,Spain Floods 2024: Valencia Roads and Paths (most affected municipalities),MODERATE,URGENT,100,100,ARCHIVED,2024-11-25 9:10:06,,['Spain'],OSM España,2024-11-02 7:19:49,49.716,73,Héctor Ochoa Ortiz,2024-11-02 7:19:49,Spain Floods 2024: Valencia Roads and Paths (most affected municipalities)OSM EspañaHéctor Ochoa Ortiz['Spain'],FALSE
314,1547,17974,"Lewotobi Eruption Buildings and Road Mapping, NTT, Indonesia",MODERATE,URGENT,100,100,ARCHIVED,2024-11-11 14:32:18,2024-12-30 17:00:00,['Indonesia'],Perkumpulan OpenStreetMap Indonesia,2024-11-04 9:36:18,332.822,61,Anjar Akrimullah,2024-11-04 9:36:18,"Lewotobi Eruption Buildings and Road Mapping, NTT, IndonesiaPerkumpulan OpenStreetMap IndonesiaAnjar Akrimullah['Indonesia']",FALSE
315,1548,18003,Zabout Refugee Camp,EASY,URGENT,100,100,ARCHIVED,2024-11-12 10:27:17,,['Chad'],OSM Sudan,2024-11-08 10:59:57,16.222,8,HASSAN ARABAB,2024-11-08 10:59:57,Zabout Refugee CampOSM SudanHASSAN ARABAB['Chad'],FALSE
317,1550,18098,Mapeo colaborativo para acciones de emergencia por inundaciones UNGRD Chocó Norte - Colombia,MODERATE,URGENT,100,100,ARCHIVED,2024-11-25 15:27:46,2024-11-30 5:00:00,['Colombia'],Open Mapping Hub for Latin America and the Caribbean,2024-11-19 18:25:10,2.39,53,Juan Carlos Melo Luna,2024-11-19 18:25:10,Mapeo colaborativo para acciones de emergencia por inundaciones UNGRD Chocó Norte - ColombiaOpen Mapping Hub for Latin America and the CaribbeanJuan Carlos Melo Luna['Colombia'],FALSE
328,1562,18244,Mapping for Sudan :  Khartoum 2,CHALLENGING,URGENT,100,100,ARCHIVED,2025-01-22 9:04:18,,['Sudan'],Open Mapping Hub ESA,2024-12-18 12:09:51,6.559,142,Becky Candy,2024-12-18 12:09:51,Mapping for Sudan :  Khartoum 2Open Mapping Hub ESABecky Candy['Sudan'],FALSE
331,1565,18264,Mayotte (North East): Cyclone Chido Priority Areas,CHALLENGING,URGENT,100,100,ARCHIVED,2025-01-15 15:43:25,,['France'],OSM France,2024-12-19 12:01:12,112.909,113,Sam Colchester,2024-12-19 12:01:12,Mayotte (North East): Cyclone Chido Priority AreasOSM FranceSam Colchester['France'],FALSE
334,1568,18314,"Missing Maps: residential areas and roads in North Darfur, Sudan",MODERATE,URGENT,100,100,ARCHIVED,2025-01-20 3:35:33,,['Sudan'],Médecins Sans Frontières (MSF),2024-12-27 9:01:05,2215.972,57,Jorieke Vyncke,2024-12-27 9:01:05,"Missing Maps: residential areas and roads in North Darfur, SudanMédecins Sans Frontières (MSF) Jorieke Vyncke['Sudan']",FALSE
335,1569,18363,Mozambique (North): Cyclone Chido -25 Priority Areas 2,MODERATE,URGENT,100,100,ARCHIVED,2025-01-27 11:30:43,2025-02-27 22:00:00,['Mozambique'],Open Mapping Hub ESA,2025-01-16 22:57:03,187.208,88,Wilson,2025-01-16 22:57:03,Mozambique (North): Cyclone Chido -25 Priority Areas 2Open Mapping Hub ESAWilson['Mozambique'],FALSE
338,1573,18510,Argentina Floods 2025 (2),MODERATE,URGENT,100,100,ARCHIVED,2025-03-24 21:09:25,,['Argentina'],Open Mapping Hub for Latin America and the Caribbean,2025-03-11 23:02:57,7.234,60,Arnelle Isaac,2025-03-11 23:02:57,Argentina Floods 2025 (2)Open Mapping Hub for Latin America and the CaribbeanArnelle Isaac['Argentina'],FALSE
341,1576,18573,Myanmar Earthquake 2025 - Mapping Roads for Myittha Township,MODERATE,URGENT,100,100,ARCHIVED,2025-04-14 2:08:48,2025-04-14 17:00:00,['Myanmar'],myOSM,2025-03-29 9:54:00,890.314,103,Patrick Oswald,2025-03-29 9:54:00,Myanmar Earthquake 2025 - Mapping Roads for Myittha TownshipmyOSMPatrick Oswald['Myanmar'],FALSE
352,1788,9036,Tanzania Katavi buildings roads RapiD,EASY,HIGH,100,100,ARCHIVED,2021-04-04 4:52:50,,['Tanzania'],Tanzania Development Trust,2020-07-08 14:05:38,116,201,Emmor,2020-07-08 14:05:38,Tanzania Katavi buildings roads RapiDTanzania Development TrustEmmor['Tanzania'],FALSE
353,1789,9237,"UnMapped PH - Sultan Sa Barongis, Maguindanao, Philippines - Buildings A",EASY,HIGH,100,100,ARCHIVED,2020-11-16 16:19:08,,['Philippines'],MapBeks,2020-08-26 12:10:31,107.198,78,Madaam,2020-08-26 12:10:31,"UnMapped PH - Sultan Sa Barongis, Maguindanao, Philippines - Buildings AMapBeksMadaam['Philippines']",FALSE
356,1792,9326,"UnMapped PH - San Andres, Romblon, Philippines - Buildings",EASY,HIGH,100,100,ARCHIVED,2020-12-26 17:08:07,,['Philippines'],MapBeks,2020-09-07 17:50:58,102.582,136,Madaam,2020-09-07 17:50:58,"UnMapped PH - San Andres, Romblon, Philippines - BuildingsMapBeksMadaam['Philippines']",FALSE
358,1794,9468,"UnMapped PH - Lumbaca-Unayan, Lanao Del Sur, Philippines - Buildings",EASY,HIGH,100,100,ARCHIVED,2020-12-26 18:44:06,,['Philippines'],MapBeks,2020-09-29 0:30:41,21.063,73,Madaam,2020-09-29 0:30:41,"UnMapped PH - Lumbaca-Unayan, Lanao Del Sur, Philippines - BuildingsMapBeksMadaam['Philippines']",FALSE
360,1796,9840,"Missing Maps: Buildings in Djibo, Burkina Faso (1)",MODERATE,HIGH,100,100,ARCHIVED,2021-02-18 8:40:14,2020-11-17 23:00:00,['Burkina Faso'],Médecins Sans Frontières (MSF),2020-11-12 14:53:10,45.304,59,Jana Bauerova,2020-11-12 14:53:10,"Missing Maps: Buildings in Djibo, Burkina Faso (1)Médecins Sans Frontières (MSF) Jana Bauerova['Burkina Faso']",FALSE
362,1798,9912,"UnMapped PH - Don Victoriano Chiongbian, Misamis Occidental, Philippines - Buildings",EASY,HIGH,100,100,ARCHIVED,2021-04-03 2:02:18,,['Philippines'],MapBeks,2020-11-23 6:57:52,281.648,45,Madaam,2020-11-23 6:57:52,"UnMapped PH - Don Victoriano Chiongbian, Misamis Occidental, Philippines - BuildingsMapBeksMadaam['Philippines']",FALSE
363,1799,10059,مشروع بناء قاعدة بيانات مكانية لمدينة ولاته,EASY,HIGH,100,100,ARCHIVED,2022-01-05 12:07:25,,['Mauritania'],OSM Mauritania,2020-12-16 22:59:15,1.978,369,Vetah MOHAMED EL MOCTAR,2020-12-16 22:59:15,مشروع بناء قاعدة بيانات مكانية لمدينة ولاتهOSM MauritaniaVetah MOHAMED EL MOCTAR['Mauritania'],FALSE
364,1800,10189,"Missing Maps: buildings in Baidoa, Somalia",EASY,HIGH,100,100,ARCHIVED,2021-02-01 9:06:36,2021-02-04 23:00:00,['Somalia'],Médecins Sans Frontières (MSF),2021-01-18 9:19:49,49.996,590,Jorieke Vyncke,2021-01-18 9:19:49,"Missing Maps: buildings in Baidoa, SomaliaMédecins Sans Frontières (MSF) Jorieke Vyncke['Somalia']",FALSE
365,1804,10337,"Tanzania Development Trust: #10337 Shanga, Kagera Buildings",EASY,HIGH,100,100,ARCHIVED,2021-02-09 23:28:29,,['Tanzania'],Tanzania Development Trust,2021-02-09 16:05:24,7.25,15,Emmor,2021-02-09 16:05:24,"Tanzania Development Trust: #10337 Shanga, Kagera BuildingsTanzania Development TrustEmmor['Tanzania']",FALSE
366,1806,10430,"Cartographie de Gossi, Cercle de Gourma-Rharous, Tombouctou",EASY,HIGH,100,100,ARCHIVED,2022-06-20 11:07:32,,['Mali'],OSM Mali,2021-02-20 20:19:30,179.991,289,Nathalie Sidibe,2021-02-20 20:19:30,"Cartographie de Gossi, Cercle de Gourma-Rharous, TombouctouOSM MaliNathalie Sidibe['Mali']",FALSE
367,1809,10521,Missing Maps: Forecast based Action Cyclones - Mozambique - Buzi District,EASY,HIGH,100,100,ARCHIVED,2022-08-07 20:32:18,,['Mozambique'],German Red Cross,2021-03-09 17:56:52,200.808,241,Isabell Klipper,2021-03-09 17:56:52,Missing Maps: Forecast based Action Cyclones - Mozambique - Buzi DistrictGerman Red CrossIsabell Klipper['Mozambique'],FALSE
368,1810,10526,"Missing Maps: Public Health in Burundi, Ryansoro District 1",EASY,HIGH,100,100,ARCHIVED,2021-04-02 19:48:20,,['Burundi'],Médecins Sans Frontières (MSF),2021-03-10 12:41:03,41.794,71,Jorieke Vyncke,2021-03-10 12:41:03,"Missing Maps: Public Health in Burundi, Ryansoro District 1Médecins Sans Frontières (MSF) Jorieke Vyncke['Burundi']",FALSE
370,1816,10777,Missing Maps: Disaster Risk Reduction - Antananarivo,MODERATE,HIGH,100,100,ARCHIVED,2022-08-07 20:32:44,,['Madagascar'],German Red Cross,2021-04-27 13:11:21,2.329,416,Isabell Klipper,2021-04-27 13:11:21,Missing Maps: Disaster Risk Reduction - AntananarivoGerman Red CrossIsabell Klipper['Madagascar'],FALSE
371,1817,10796,Adamawa State-Numan LGA -Citizen Science Mapathon for  Flood  Vulnerable Communities  in Nigeria-Numan Town,EASY,HIGH,100,100,ARCHIVED,2023-12-21 16:53:06,2021-05-03 23:00:00,['Nigeria'],"Unique Mappers Network, Nigeria",2021-04-30 3:15:37,4455.013,3385,Victor N.Sunday,2021-04-30 3:15:37,"Adamawa State-Numan LGA -Citizen Science Mapathon for  Flood  Vulnerable Communities  in Nigeria-Numan TownUnique Mappers Network, NigeriaVictor N.Sunday['Nigeria']",FALSE
372,1818,10824,"Missing Maps, Nigeria, Lagos (3)",EASY,HIGH,100,100,ARCHIVED,2022-08-02 10:43:43,,['Nigeria'],British Red Cross,2021-05-03 15:05:21,4.163,138,Paul Knight,2021-05-03 15:05:21,"Missing Maps, Nigeria, Lagos (3)British Red CrossPaul Knight['Nigeria']",FALSE
373,1823,10978,"MAPPING FOR HIV/AID HEALTH PROJECT AND GBV IN IBENO LGA, AKWA IBOM, NIGERIA.",EASY,HIGH,100,99,ARCHIVED,2021-07-13 20:38:29,,['Nigeria'],Geohazards Risk Mapping Initiative,2021-06-02 10:30:00,11.393,78,Taiwo Ogunwumi,2021-06-02 10:30:00,"MAPPING FOR HIV/AID HEALTH PROJECT AND GBV IN IBENO LGA, AKWA IBOM, NIGERIA.Geohazards Risk Mapping InitiativeTaiwo Ogunwumi['Nigeria']",FALSE
375,1825,11092,odawara_landslide,EASY,HIGH,100,100,ARCHIVED,2022-06-20 11:08:18,,['Japan'],HOT Project Manager Trainees,2021-07-08 6:03:24,31.304,466,Taichi Furuhashi,2021-07-08 6:03:24,odawara_landslideHOT Project Manager TraineesTaichi Furuhashi['Japan'],FALSE
376,1826,11224,"Flood Mapping - Kamdish, Nuristan, Afghanistan",EASY,HIGH,100,100,ARCHIVED,2022-11-09 9:21:01,,['Afghanistan'],Open Mapping Hub Asia-Pacific,2021-07-31 5:42:36,57.867,79,Madaam,2021-07-31 5:42:36,"Flood Mapping - Kamdish, Nuristan, AfghanistanOpen Mapping Hub Asia-PacificMadaam['Afghanistan']",FALSE
377,1827,11336,United Nations for Mali - TIN HAMA: villages and barriers,EASY,HIGH,100,100,ARCHIVED,2021-09-15 7:11:25,,['Mali'],UN Mappers,2021-09-01 13:42:29,652.607,52,UN Mappers,2021-09-01 13:42:29,United Nations for Mali - TIN HAMA: villages and barriersUN MappersUN Mappers['Mali'],FALSE
380,1830,11378,Solid Waste Mapping in Mogadishu: Hawl-Wadag Buildings,EASY,HIGH,100,100,ARCHIVED,2022-03-03 13:49:34,2021-10-30 21:00:00,['Somalia'],HOT,2021-09-09 14:43:47,3.916,88,Immaculata Mwanja,2021-09-09 14:43:47,Solid Waste Mapping in Mogadishu: Hawl-Wadag BuildingsHOTImmaculata Mwanja['Somalia'],FALSE
382,1837,11533,United Nations for Central African Republic - MIAMANI: roads,EASY,HIGH,100,100,ARCHIVED,2021-09-27 14:35:26,,['Central African Republic'],UN Mappers,2021-09-24 11:37:06,608.29,30,Michael Montani,2021-09-24 11:37:06,United Nations for Central African Republic - MIAMANI: roadsUN MappersMichael Montani['Central African Republic'],FALSE
384,1840,11583,Vulnerable villages of Tajikistan for disaster risk reduction - Romit and its surroundings,EASY,HIGH,100,100,ARCHIVED,2022-02-02 16:37:20,,['Tajikistan'],Little Earth,2021-10-01 13:23:24,6.242,47,naranjasol,2021-10-01 13:23:24,Vulnerable villages of Tajikistan for disaster risk reduction - Romit and its surroundingsLittle Earthnaranjasol['Tajikistan'],FALSE
385,1841,11596,Mapaton RRD - Cruz Roja Ecuatoriana,EASY,HIGH,100,100,ARCHIVED,2021-11-16 4:54:05,,['Ecuador'],OSM Kenya,2021-10-06 0:59:45,149.412,59,Laura Mugeha,2021-10-06 0:59:45,Mapaton RRD - Cruz Roja EcuatorianaOSM KenyaLaura Mugeha['Ecuador'],FALSE
387,1846,11894,Kalalani missing buildings,EASY,HIGH,100,100,ARCHIVED,2022-04-18 14:30:18,,['Tanzania'],Tanzania Development Trust,2021-12-05 3:38:24,500,133,Emmor,2021-12-05 3:38:24,Kalalani missing buildingsTanzania Development TrustEmmor['Tanzania'],FALSE
392,1852,12001,"Missing Maps: Disaster preparedness - Keserwan District, Lebanon ",EASY,HIGH,100,100,ARCHIVED,2022-09-26 7:27:22,,['Lebanon'],German Red Cross,2022-01-18 8:31:28,257.26,654,Isabell Klipper,2022-01-18 8:31:28,"Missing Maps: Disaster preparedness - Keserwan District, Lebanon German Red CrossIsabell Klipper['Lebanon']",FALSE
396,1857,12045,"Missing Maps: Buildings in Mogovolas, Mozambique (3)",EASY,HIGH,100,100,ARCHIVED,2022-05-16 12:19:22,,['Mozambique'],Médecins Sans Frontières (MSF),2022-01-28 9:54:14,240.034,270,Laurie Boobier,2022-01-28 9:54:14,"Missing Maps: Buildings in Mogovolas, Mozambique (3)Médecins Sans Frontières (MSF) Laurie Boobier['Mozambique']",FALSE
399,1863,12171,Buildings of Petrópolis (RJ) -  2022 Floods in Brazil,MODERATE,HIGH,100,100,ARCHIVED,2022-07-02 11:42:35,,['Brazil'],OSM Brasil,2022-02-17 12:57:16,44.997,288,Wille Marcel,2022-02-17 12:57:16,Buildings of Petrópolis (RJ) -  2022 Floods in BrazilOSM BrasilWille Marcel['Brazil'],FALSE
403,1875,12385,"Missing Maps: Lankien, South Sudan (1)",EASY,HIGH,100,100,ARCHIVED,2022-05-02 10:26:50,,['South Sudan'],Médecins Sans Frontières (MSF),2022-03-31 16:35:09,220.071,143,Laurie Boobier,2022-03-31 16:35:09,"Missing Maps: Lankien, South Sudan (1)Médecins Sans Frontières (MSF) Laurie Boobier['South Sudan']",FALSE
405,1884,12597,eThekwini Central - Durban Floods and Landslides Recovery 2022,EASY,HIGH,100,100,ARCHIVED,2023-11-07 14:46:18,,['South Africa'],HOT,2022-05-17 13:47:14,692.921,2629,Geoffrey Kateregga,2022-05-17 13:47:14,eThekwini Central - Durban Floods and Landslides Recovery 2022HOTGeoffrey Kateregga['South Africa'],FALSE
407,1890,12615,"Missing Maps: Buildings and residential areas, South of Madagascar (6)",EASY,HIGH,100,100,ARCHIVED,2025-01-30 16:56:32,,['Madagascar'],Médecins Sans Frontières (MSF),2022-05-19 10:07:38,135.688,107,Jorieke Vyncke,2022-05-19 10:07:38,"Missing Maps: Buildings and residential areas, South of Madagascar (6)Médecins Sans Frontières (MSF) Jorieke Vyncke['Madagascar']",FALSE
420,1917,13218,Zambia Census - Western Province North Rural 6,EASY,HIGH,100,100,ARCHIVED,2022-08-12 23:12:43,2022-08-14 7:00:00,['Zambia'],HOT,2022-08-10 18:56:55,5.097,37,Sam Colchester,2022-08-10 18:56:55,Zambia Census - Western Province North Rural 6HOTSam Colchester['Zambia'],FALSE
428,1925,13335,"Missing Maps: Bamyan, Afghanistan (3)",MODERATE,HIGH,100,100,ARCHIVED,2023-01-23 8:24:54,,['Afghanistan'],Médecins Sans Frontières (MSF),2022-08-23 14:21:42,1.325,2,Jorieke Vyncke,2022-08-23 14:21:42,"Missing Maps: Bamyan, Afghanistan (3)Médecins Sans Frontières (MSF) Jorieke Vyncke['Afghanistan']",FALSE
434,1933,13399,Mapping for Flood Resilience - Arinyapi Subcounty Adjumani District,EASY,HIGH,100,100,ARCHIVED,2023-08-30 10:27:52,,['Uganda'],MapUganda,2022-08-29 8:02:27,186.129,36,Awania  Morish,2022-08-29 8:02:27,Mapping for Flood Resilience - Arinyapi Subcounty Adjumani DistrictMapUgandaAwania  Morish['Uganda'],FALSE
437,1939,13556,"Missing Maps: Buildings in Mizoram State, India (5)",EASY,HIGH,100,100,ARCHIVED,2022-11-02 10:13:51,,['India'],Médecins Sans Frontières (MSF),2022-09-26 13:06:22,22.136,78,Laurie Boobier,2022-09-26 13:06:22,"Missing Maps: Buildings in Mizoram State, India (5)Médecins Sans Frontières (MSF) Laurie Boobier['India']",FALSE
441,1946,13652,Qatar 2,EASY,HIGH,100,99,ARCHIVED,2024-03-26 15:45:47,2022-12-30 23:00:00,['Qatar'],OSM Arabia,2022-10-25 12:16:41,68.227,157,ABDURAHMAN AL FURJANI,2022-10-25 12:16:41,Qatar 2 OSM ArabiaABDURAHMAN AL FURJANI['Qatar'],FALSE
448,1961,13845,Missing Maps: Camp 21 Kutupalong Bangladesh,MODERATE,HIGH,100,100,ARCHIVED,2023-01-04 8:17:08,,['Bangladesh'],Médecins Sans Frontières (MSF),2022-11-23 14:30:59,1.387,38,Jorieke Vyncke,2022-11-23 14:30:59,Missing Maps: Camp 21 Kutupalong BangladeshMédecins Sans Frontières (MSF) Jorieke Vyncke['Bangladesh'],FALSE
450,1966,13941,"United Nations for Democratic Republic of the Congo - VITSHUMBI: places, residential areas and barriers",EASY,HIGH,100,100,ARCHIVED,2023-03-30 14:06:19,,['Democratic Republic of the Congo'],UN Mappers,2022-12-07 8:54:59,584.644,29,Michael Montani,2022-12-07 8:54:59,"United Nations for Democratic Republic of the Congo - VITSHUMBI: places, residential areas and barriersUN MappersMichael Montani['Democratic Republic of the Congo']",FALSE
451,1968,13998,"Missing Maps: Roads in Daudu, Benue state Nigeria",MODERATE,HIGH,100,100,ARCHIVED,2023-01-16 8:41:17,,['Nigeria'],Médecins Sans Frontières (MSF),2022-12-19 15:18:33,11.105,33,Jorieke Vyncke,2022-12-19 15:18:33,"Missing Maps: Roads in Daudu, Benue state NigeriaMédecins Sans Frontières (MSF) Jorieke Vyncke['Nigeria']",FALSE
452,1970,14014,EL ALAMEIN,EASY,HIGH,100,100,ARCHIVED,2024-03-27 10:54:22,2023-03-10 21:00:00,['Egypt'],OSM Egypt,2022-12-27 12:20:21,17.511,155,omar selim,2022-12-27 12:20:21,EL ALAMEINOSM Egyptomar selim['Egypt'],FALSE
453,1971,14103,"Missing Maps: buildings in Magaria department, Niger (1) ",EASY,HIGH,100,100,ARCHIVED,2023-01-23 8:20:22,,['Niger'],Médecins Sans Frontières (MSF),2023-01-11 11:15:07,75.396,124,Jorieke Vyncke,2023-01-11 11:15:07,"Missing Maps: buildings in Magaria department, Niger (1) Médecins Sans Frontières (MSF) Jorieke Vyncke['Niger']",FALSE
454,1972,14105,"Landslide on Panamerican highway in Rosas, Cauca, Colombia",MODERATE,HIGH,100,100,ARCHIVED,2023-02-08 9:56:52,2023-02-01 5:00:00,['Colombia'],Comunidad OSM Colombia,2023-01-12 0:51:15,27.586,18,Andres Gomez Casanova,2023-01-12 0:51:15,"Landslide on Panamerican highway in Rosas, Cauca, ColombiaComunidad OSM ColombiaAndres Gomez Casanova['Colombia']",FALSE
462,1985,14465,Anticipatory Action Mapping Of Buildings For Muzarabani : Ward 1,MODERATE,HIGH,100,100,ARCHIVED,2024-01-08 8:34:25,,['Zimbabwe'],OSM Zimbabwe,2023-03-24 19:07:39,187.838,26,Last Mufoya,2023-03-24 19:07:39,Anticipatory Action Mapping Of Buildings For Muzarabani : Ward 1OSM ZimbabweLast Mufoya['Zimbabwe'],FALSE
465,1988,14510,Cross River State -Map Nigeria Mapathon  Campaign-Lets Map Abi LGA  for SDGs & Social Good,EASY,HIGH,100,100,ARCHIVED,2023-12-30 14:45:36,2023-04-29 23:00:00,['Nigeria'],"Unique Mappers Network, Nigeria",2023-03-30 14:32:04,273.657,187,Victor N.Sunday,2023-03-30 14:32:04,"Cross River State -Map Nigeria Mapathon  Campaign-Lets Map Abi LGA  for SDGs & Social Good Unique Mappers Network, NigeriaVictor N.Sunday['Nigeria']",FALSE
466,1989,14546,CARTOGRAPHIE DE L'ARRONDISSEMENT DE MATERI - BÉNIN,EASY,HIGH,100,100,ARCHIVED,2023-10-04 7:36:14,,['Benin'],OSM Benin,2023-04-05 15:04:19,12.531,49,Saliou ABDOU,2023-04-05 15:04:19,CARTOGRAPHIE DE L'ARRONDISSEMENT DE MATERI - BÉNINOSM BeninSaliou ABDOU['Benin'],FALSE
469,1992,14583,SONGEA TOWN MISSING BUILDINGS,EASY,HIGH,100,100,ARCHIVED,2023-10-04 7:36:58,2023-05-31 21:00:00,['Tanzania'],ROOTGIS,2023-04-11 11:07:23,2.408,9,KAWAMALA,2023-04-11 11:07:23,SONGEA TOWN MISSING BUILDINGSROOTGISKAWAMALA['Tanzania'],FALSE
